probe_id,primary_mean_log2_fold_change,primary_t_statistic,primary_p_value,primary_fdr,primary_significant,sensitivity_mean_log2_fold_change,sensitivity_t_statistic,sensitivity_p_value,sensitivity_fdr,sensitivity_significant,robust,direction,gene_symbol,gene_id,gene_title
224232_s_at,0.30330383333333344,5.047994353577827,4.574027312223799e-06,2.3113211025493182e-05,False,0.3076979245283019,5.01900272508902,6.444064919757579e-06,2.8943501970569756e-05,False,False,Higher in tumor,PRELID1,27166,PRELI domain containing 1
224233_s_at,0.7720736666666669,13.609017989530718,7.47894128396265e-20,2.04455557350329e-17,False,0.7748518867924528,14.0830975835775,2.212660634251338e-19,3.768760753199125e-17,False,False,Higher in tumor,MSTO1,55154,"misato 1, mitochondrial distribution and morphology regulator"
224234_at,-0.01740883333333337,-0.6643674759281124,0.509043431877957,0.6009532882328352,False,-0.012854528301886846,-0.5045121824461317,0.6160327804897785,0.6934769252456063,False,False,Lower in tumor,,,
224235_at,0.06046433333333333,2.313306929249643,0.024209899511954024,0.046920571968951344,False,0.053260377358490554,1.9446577402675789,0.05723387501628025,0.09561421768868011,False,False,Higher in tumor,,,
224236_s_at,0.06065950000000005,2.2485593816078104,0.02828913649392244,0.05374247872846454,False,0.06328301886792458,2.1816609399417817,0.03367757873261975,0.06035339136667818,False,False,Higher in tumor,,,
224237_at,0.037599999999999995,1.5522757728143948,0.1259443561808714,0.1914801088423654,False,0.046274905660377355,1.729714179709811,0.08961370429994601,0.14046672503388907,False,False,Higher in tumor,,,
224238_at,0.021448666666666664,0.9854684309135452,0.3284182028116546,0.4233071321513288,False,0.02000792452830188,0.8866378552227738,0.3793562219322973,0.4713503643793372,False,False,Higher in tumor,,,
224239_at,0.04367066666666668,1.6378725416698996,0.10677124419467386,0.1665967802386859,False,0.03254320754716982,1.161554328872793,0.2507206369388901,0.3349824257033824,False,False,Higher in tumor,DEFB103A///DEFB103B,414325///55894,defensin beta 103A///defensin beta 103B
224240_s_at,0.5724903333333332,6.452840680064542,2.2658861910263685e-08,1.9053726160314778e-07,False,0.6043994339622641,6.441885187772979,3.8362682925703344e-08,2.788460102316978e-07,False,False,Higher in tumor,CCL28,56477,C-C motif chemokine ligand 28
224241_s_at,0.026147166666666742,0.7736953211114872,0.4422000950153742,0.5371418141113413,False,0.037441886792452896,1.0528349626576698,0.2972844917076993,0.3859806127643243,False,False,Higher in tumor,,,
